Date,TruckPlate,TruckType,productive_flag,idle_flag
2026-03-13,A 9272 U,T33-WB,1,0
2026-03-13,A 9273 U,T33-WB,1,0
2026-03-13,A 9274 U,T33-WB,1,0
2026-03-13,A 9275 U,T33-WB,1,0
2026-03-13,A 9276 U,T33-WB,1,0
2026-03-13,A 9277 U,T33-WB,0,1
2026-03-13,A 9278 U,T33-WB,0,1
2026-03-13,A 9279 U,T33-WB,0,1
2026-03-13,A 9280 U,T33-WB,0,1
2026-03-13,A 9281 U,T33-WB,0,1
2026-03-13,A 9293 U,T37-WB,0,1
2026-03-13,A 9294 U,T37-WB,0,1
2026-03-13,A 9295 U,T37-WB,1,0
2026-03-13,A 9296 U,T33-WB,1,0
2026-03-13,A 9297 U,T33-WB,1,0
2026-03-13,A 9298 U,T33-WB,1,0
2026-03-13,A 9301 U,T33-WB,0,1
2026-03-13,A 9302 U,T37-WB,1,0
2026-03-13,A 9303 U,T37-WB,1,0
2026-03-13,A 9304 U,T37-WB,1,0
2026-03-13,A 9305 U,T33-WB,0,1
2026-03-13,A 9306 U,T33-WB,1,0
2026-03-13,A 9307 U,T33-WB,0,1
2026-03-13,A 9308 U,T33-WB,0,1
2026-03-13,A 9309 U,T33-WB,0,1
2026-03-13,A 9310 U,T33-WB,0,1
2026-03-13,A 9311 U,T33-WB,0,1
2026-03-13,A 9312 U,T33-WB,0,1
2026-03-13,A 9313 U,T33-WB,1,0
2026-03-13,A 9314 U,T33-WB,1,0
2026-03-13,A 9315 U,T33-WB,1,0
2026-03-13,A 9316 U,T33-WB,0,1
2026-03-13,A 9317 U,T33-WB,1,0
2026-03-13,A 9318 U,T33-WB,1,0
2026-03-13,A 9319 U,T33-WB,0,1
2026-03-13,A 9320 U,T33-WB,0,1
2026-03-13,A 9321 U,T33-WB,0,1
2026-03-13,A 9322 U,T33-WB,0,1
2026-03-13,A 9323 U,T33-WB,0,1
2026-03-13,A 9324 U,T33-WB,0,1
2026-03-13,A 9329 U,T33-WB,0,1
2026-03-13,A 9330 U,T33-WB,0,1
2026-03-13,A 9331 U,T33-WB,1,0
2026-03-13,A 9332 U,T33-WB,1,0
2026-03-13,A 9334 U,T33-WB,0,1
2026-03-13,A 9335 U,T33-WB,0,1
2026-03-13,A 9336 U,T33-WB,0,1
2026-03-13,A 9337 U,T33-WB,0,1
2026-03-13,A 9338 U,T33-WB,1,0
2026-03-13,A 9340 U,T33-WB,0,1
2026-03-13,A 9341 U,T33-WB,0,1
2026-03-13,A 9342 U,T33-WB,0,1
2026-03-13,A 9343 U,T33-WB,1,0
2026-03-13,A 9344 U,T33-WB,0,1
2026-03-13,A 9345 U,T33-WB,1,0
2026-03-13,A 9346 U,T33-WB,1,0
2026-03-13,A 9347 U,T33-WB,0,1
2026-03-13,A 9348 U,T33-WB,0,1
2026-03-13,A 9349 U,T33-WB,1,0
2026-03-13,A 9351 U,T33-WB,1,0
2026-03-13,B 9064 PYK,CDD,1,0
2026-03-13,B 9065 PYK,CDD,1,0
2026-03-13,B 9066 PYK,T8-CDL,1,0
2026-03-13,B 9068 PYK,CDD,0,1
2026-03-13,B 9071 PYK,CDD,0,1
2026-03-13,B 9074 PYK,CDD,1,0
2026-03-13,B 9081 PYK,CDD,0,1
2026-03-13,B 9114 SCI,CDD,1,0
2026-03-13,B 9137 SCI,CDD,1,0
2026-03-13,B 9148 SCI,CDD,1,0
2026-03-13,B 9181 SCI,CDD,1,0
2026-03-13,B 9338 PRO,CDD,1,0
2026-03-13,G 8396 E,CDD,0,1
2026-03-13,H 8248 BQ,CDD,0,1
2026-03-13,L8016US,T32-DT,1,0
2026-03-13,L8035US,T32-DT,1,0
2026-03-13,L8048US,T32-DT,1,0
2026-03-13,L8057US,T32-DT,1,0
2026-03-13,L8078US,T32-DT,1,0
2026-03-13,L8088US,T32-DT,0,1
2026-03-13,L8095US,T32-DT,1,0
2026-03-13,L8127US,T32-DT,1,0
2026-03-13,L8133US,T32-DT,1,0
2026-03-13,L8144US,T32-DT,1,0
2026-03-13,L8146US,T32-DT,1,0
2026-03-13,L8169US,T32-DT,1,0
2026-03-13,L8178UU,T32-DT,0,1
2026-03-13,L8179UU,T32-DT,0,1
2026-03-13,L8182US,T32-DT,1,0
2026-03-13,L8182UU,T32-DT,0,1
2026-03-13,L8183UU,T32-DT,1,0
2026-03-13,L8184UU,T32-DT,1,0
2026-03-13,L8185UU,T32-DT,1,0
2026-03-13,L8459UDD,T32-DT,1,0
2026-03-13,L8470UDD,T32-DT,1,0
2026-03-13,L8471UDD,T32-DT,1,0
2026-03-13,L8472UDD,T32-DT,1,0
2026-03-13,L8473UDD,T32-DT,0,1
2026-03-13,L8474UDD,T32-DT,0,1
2026-03-13,L8475UDD,T32-DT,1,0
2026-03-13,L8476UDD,T32-DT,1,0
2026-03-13,L8477UDD,T32-DT,1,0
2026-03-13,L8478UDD,T32-DT,1,0
2026-03-13,L8479UDD,T32-DT,1,0
2026-03-13,L8506UDD,T32-DT,1,0
2026-03-13,L8507UDD,T32-DT,1,0
2026-03-13,L8578UDD,T32-DT,1,0
2026-03-13,L8922UU,T32-DT,1,0
2026-03-13,L8926UU,T32-DT,1,0
2026-03-13,NA,UNKNOWN,1,0
