Date,TruckType,truck_total,truck_productive,truck_idle,utilization_rate
2026-03-02,CDD,13,9,4,0.6923076923076923
2026-03-02,T32-DT,35,15,20,0.42857142857142855
2026-03-02,T33-WB,60,41,19,0.6833333333333333
2026-03-02,T8-CDL,1,1,0,1
2026-03-02,UNKNOWN,1,1,0,1
2026-03-03,CDD,13,10,3,0.7692307692307693
2026-03-03,T32-DT,35,30,5,0.8571428571428571
2026-03-03,T33-WB,60,49,11,0.8166666666666667
2026-03-03,T8-CDL,1,1,0,1
2026-03-03,UNKNOWN,1,1,0,1
2026-03-04,CDD,13,11,2,0.8461538461538461
2026-03-04,T32-DT,35,28,7,0.8
2026-03-04,T33-WB,60,46,14,0.7666666666666667
2026-03-04,T8-CDL,1,1,0,1
2026-03-04,UNKNOWN,1,1,0,1
2026-03-05,CDD,13,11,2,0.8461538461538461
2026-03-05,T32-DT,35,14,21,0.4
2026-03-05,T33-WB,60,49,11,0.8166666666666667
2026-03-05,T8-CDL,1,1,0,1
2026-03-05,UNKNOWN,1,1,0,1
2026-03-06,CDD,20,15,5,0.75
2026-03-06,T32-DT,35,24,11,0.6857142857142857
2026-03-06,T33-WB,60,48,12,0.8
2026-03-06,T8-CDL,1,1,0,1
2026-03-06,UNKNOWN,1,1,0,1
2026-03-07,CDD,20,16,4,0.8
2026-03-07,T32-DT,35,29,6,0.8285714285714286
2026-03-07,T33-WB,60,50,10,0.8333333333333334
2026-03-07,T8-CDL,1,1,0,1
2026-03-07,UNKNOWN,1,1,0,1
2026-03-08,CDD,20,14,6,0.7
2026-03-08,T32-DT,35,26,9,0.7428571428571429
2026-03-08,T33-WB,60,45,15,0.75
2026-03-08,T8-CDL,1,1,0,1
2026-03-08,UNKNOWN,1,1,0,1
2026-03-09,CDD,20,15,5,0.75
2026-03-09,T32-DT,35,22,13,0.6285714285714286
2026-03-09,T33-WB,60,46,14,0.7666666666666667
2026-03-09,T8-CDL,1,1,0,1
2026-03-09,UNKNOWN,1,1,0,1
2026-03-10,CDD,20,15,5,0.75
2026-03-10,T32-DT,35,22,13,0.6285714285714286
2026-03-10,T33-WB,60,51,9,0.85
2026-03-10,T8-CDL,1,1,0,1
2026-03-10,UNKNOWN,1,1,0,1
2026-03-11,CDD,20,16,4,0.8
2026-03-11,T32-DT,35,29,6,0.8285714285714286
2026-03-11,T33-WB,60,51,9,0.85
2026-03-11,T8-CDL,1,1,0,1
2026-03-11,UNKNOWN,1,1,0,1
